"area","rooms","bathroom","parking_spaces","hoa_.BRL.","rent_amount_.BRL.","property_tax_.BRL.","fire_insurance_.BRL.","totalBRL"
162,3,4,0,0,3200,267,49,8.16536363247398
301,4,5,4,4265,12500,NA,159,9.8266605024228
40,1,1,0,150,1800,38,23,7.60688453121963
45,1,1,0,750,1000,34,13,7.49443021503157
135,3,2,1,1940,3060,NA,40,8.60685106334677
135,3,2,1,1378,3290,279,42,8.51519118874556
102,3,2,2,1125,5525,225,81,8.84750362592364
76,2,2,2,978,1400,123,18,7.83201418050547
180,4,1,1,2420,8500,NA,108,9.34408424202578
72,2,2,1,0,1250,NA,21,7.19893124068817
128,2,3,1,755,4339,85,55,8.56312212330464
60,3,2,0,350,2362,88,30,7.9483852851119
44,1,1,0,450,2500,NA,32,8.0106915391303
189,3,3,1,2143,5800,371,74,9.0346766028463
450,6,2,8,0,4000,197,72,8.35936910622267
286,4,4,5,0,10800,1125,163,9.40021665317425
276,4,6,4,3450,4500,NA,58,9.1821466376054
60,1,2,1,844,3800,NA,49,8.45404037641097
40,1,1,0,0,880,48,14,6.84906628263346
57,2,2,1,600,1800,0,24,7.79358680337158
45,1,1,1,521,600,NA,8,7.06304816338817
42,1,1,1,712,3500,22,45,8.36170828857584
68,2,1,1,560,1100,42,15,7.4489161025442
120,3,2,1,1650,4800,NA,62,8.83462822201737
360,4,4,2,3340,11050,0,141,9.5840395773207
140,2,1,0,0,1650,NA,25,7.51914995766982
35,1,1,0,0,1100,30,14,7.04315991598834
16,1,1,0,0,910,NA,12,6.82762923450285
110,3,1,1,780,1100,NA,9,7.5999019592085
69,2,1,1,485,980,60,13,7.33888813383888
59,2,2,0,510,1400,112,19,7.62168499872461
336,4,4,6,0,7677,950,116,9.07612302985637
210,4,4,3,2800,5000,NA,64,9.08045945112166
242,4,5,4,3270,12000,930,153,9.70204433653459
28,1,1,0,350,550,21,9,6.83625927727707
220,4,3,3,4208,9000,1203,115,9.5840395773207
62,3,2,1,485,1629,54,24,7.69302574841789
111,3,2,2,1100,3500,325,46,8.5115774526306
159,3,2,2,1000,2500,334,32,8.2602342916073
70,2,2,0,690,2250,100,29,8.02943284058124
150,3,2,2,1181,2000,NA,26,8.18646442942209
50,1,1,1,776,4000,126,51,8.5079506100493
450,3,3,8,0,5015,400,76,8.61104776688786
64,2,1,1,252,850,78,12,7.08422642209792
600,5,7,5,0,5200,NA,79,8.60061479955531
70,1,1,0,430,3200,109,41,8.23774380389093
76,3,2,0,1160,1240,95,16,7.82883452758809
280,3,3,4,0,6520,834,99,8.9165060800392
172,2,4,3,1400,11000,775,140,9.49709701635146
246,3,4,4,3800,12000,750,153,9.72322387685162
64,2,1,1,400,1500,101,20,7.61184239958042
30,1,1,0,0,550,0,8,6.3261494731551
80,3,2,1,0,2170,47,33,7.71912984090673
87,3,1,1,786,1800,159,24,7.92660259918138
50,1,1,1,250,800,0,12,6.96885037834195
50,1,1,0,400,800,NA,12,7.11720550316434
30,1,1,0,0,1850,167,28,7.62364194651157
43,1,1,0,219,1472,42,6,7.46164039220858
300,3,4,0,0,10000,2000,151,9.40516674990861
58,1,2,1,850,750,40,10,7.40913644392013
30,1,1,1,1379,1660,18,22,8.03268487596762
54,2,1,0,571,1700,NA,22,7.79523492900217
80,2,2,1,1050,3500,167,46,8.46884293047519
62,2,2,1,480,1600,9,24,7.65633716643018
66,2,2,0,550,1200,50,18,7.50604217851812
80,2,2,1,400,1500,36,20,7.57916796739608
560,4,4,7,8600,15000,NA,191,10.2678181172857
30,1,1,1,500,3900,NA,50,8.41958036254924
50,1,1,0,0,1600,NA,25,7.39387829010776
81,2,2,1,615,3500,225,46,8.38640090116621
218,4,4,4,2488,4930,1454,63,9.09784334074904
54,2,1,2,300,1200,NA,16,7.35436233042148
60,2,1,0,0,1200,0,19,7.1066061377273
100,3,1,1,150,1200,0,16,7.22037383672395
156,2,3,2,2040,13590,292,173,9.68601538845915
300,3,4,3,3000,4000,0,51,8.86106654351776
39,1,1,1,680,2500,NA,32,8.1101268019411
150,4,3,4,0,3000,500,46,8.17385745477362
140,2,3,4,2300,6170,NA,79,9.10130645095205
240,4,4,3,2800,4200,792,54,8.96788657212747
70,2,1,0,0,1300,70,20,7.23777819192344
462,4,7,4,0,5000,NA,76,8.64241515616962
67,3,1,1,351,890,NA,12,7.16549347506085
100,2,1,0,0,1200,63,20,7.15773548424991
113,3,3,1,350,1100,NA,15,7.34858753092759
99,3,2,1,390,2500,NA,32,8.0106915391303
120,2,1,1,0,2100,175,32,7.74413662762799
110,3,2,3,0,2600,400,40,8.01994168767737
38,1,1,1,342,980,51,15,7.23633934275434
100,3,1,1,999,1090,NA,14,7.69530313496357
135,4,2,2,1378,4200,468,55,8.71637186527662
130,3,2,1,1338,3250,450,42,8.53326337159373
80,3,2,1,305,1200,122,16,7.40488757561612
300,3,2,5,0,11500,2000,173,9.52303207993199
72,2,1,2,195,1300,97,18,7.38461038317697
70,3,2,2,1058,1659,44,22,7.93164402145431
395,4,4,3,2137,15000,NA,191,9.8070317167185
540,6,8,3,0,15000,NA,267,9.6633885668225
318,4,6,4,3450,10160,0,129,9.52813934333178
42,2,1,1,170,900,27,12,7.01211529430638
52,1,1,1,613,1400,NA,19,7.62803112693033
167,3,2,1,1787,10850,532,138,9.49634604004702
50,1,1,0,467,1209,NA,8,7.50328963067508
65,2,2,1,412,1000,NA,13,7.29369772060144
140,4,4,3,1800,3600,NA,46,8.70450228972123
92,3,1,1,340,1600,4,21,7.58375630070711
150,4,3,3,1200,3300,NA,44,8.48425669116997
60,1,1,0,250,1300,75,17,7.40427911803727
308,4,5,6,2000,13500,173,180,9.67098786879789
159,2,3,1,1276,3230,49,41,8.43315919580623
240,3,5,4,0,7500,NA,113,8.99628043939502
65,3,2,0,450,1690,86,25,7.71957398925958
200,3,2,2,0,5000,NA,76,8.56483984488359
130,3,5,2,1170,3610,209,46,8.52436739516424
21,1,1,0,519,1200,0,16,7.4593388952203
68,2,1,1,525,1600,NA,21,7.73587031995257
40,1,1,0,450,900,38,14,7.24636808010246
310,4,3,6,0,3100,187,51,8.11342663994365
103,2,1,1,635,1060,84,14,7.49220304261874
650,5,7,4,4100,15000,4241,229,10.0677724218439
30,1,1,0,380,500,10,7,6.8001700683022
155,4,5,3,1200,5000,593,67,8.83360848269089
107,2,2,1,400,2600,NA,33,8.01763715990848
340,4,5,5,5200,12000,3400,153,9.94034971726869
70,3,1,0,275,1200,104,16,7.37525577800976
58,2,2,1,310,950,86,13,7.2152399787301
70,3,2,1,569,3300,159,42,8.31164394850298
240,3,3,0,300,4300,292,65,8.50875771259514
130,3,2,1,1300,2800,300,37,8.39795910349254
310,5,6,5,6900,10000,1834,127,9.84485157705117
60,1,1,1,731,1300,54,17,7.6511201757027
319,4,6,5,5000,10050,NA,128,9.80261694215115
81,2,1,0,350,1150,NA,17,7.32843735289516
306,3,5,0,0,8000,0,132,9.00368513816677
113,2,2,1,1000,3000,NA,39,8.31630024903685
280,3,4,2,4000,6000,1059,77,9.31838727605932
270,3,3,3,2800,13000,959,165,9.73631073306863
78,2,1,1,645,2000,35,26,7.9035962896143
60,1,2,1,0,1500,30,23,7.34858753092759
30,1,1,0,0,750,NA,12,6.71174039505618
58,2,1,1,594,800,77,11,7.30182234213793
65,1,1,0,350,1800,30,24,7.69848278788095
58,1,1,1,580,1740,NA,23,7.79110951061003
22,1,1,0,385,2100,40,27,7.84502441724148
32,1,1,1,811,3200,174,41,8.34924780056679
176,3,5,3,1350,5200,NA,66,8.86205867739547
350,7,5,4,0,7500,357,123,8.98481899587601
260,4,4,2,2570,4400,584,56,8.93734984826739
100,2,1,0,0,2300,198,35,7.83755436088108
65,1,1,0,750,3500,142,46,8.39818440483404
600,7,6,1,1300,15000,1167,194,9.77911409769637
300,4,3,1,0,5000,NA,77,8.60245303536706
430,4,3,4,0,8500,NA,128,9.21642184229205
260,5,5,4,4000,8000,2620,102,9.59703032475801
211,3,4,3,0,8400,292,138,9.0860235374688
103,3,2,1,885,1800,113,23,7.94520113241276
62,2,2,0,400,1556,NA,23,7.64012317269536
80,2,2,1,1100,3499,NA,46,8.48694014824522
60,1,1,1,0,1180,0,18,7.08924315502751
27,1,1,0,1404,3500,NA,45,8.50734485536142
486,4,6,5,4614,4861,NA,62,9.49634604004702
40,1,1,1,480,1680,102,22,7.7341213033283
60,2,1,0,806,2800,NA,37,8.22710823434815
64,2,2,0,665,2200,104,29,8.00603417874901
660,5,7,4,5381,10000,1100,127,9.71782040549108
62,3,2,1,487,2400,NA,31,7.9973268229981
50,2,1,1,180,946,NA,14,7.03966034986208
380,3,4,4,0,8000,952,121,9.11316846022391
134,3,3,2,1000,2500,177,32,8.21878715560148
74,2,2,0,1105,3600,NA,46,8.50956416425175
68,2,2,1,1183,2500,207,34,8.27512163021651
33,1,1,0,470,1600,72,21,7.67971363996637
60,2,1,0,0,1100,NA,17,7.01929665371504
50,1,1,1,707,3700,30,47,8.4084937744929
57,2,2,2,834,1630,NA,21,7.89170465933011
39,1,1,1,529,995,49,13,7.36960072052641
45,1,1,1,30,760,0,12,6.68835471394676
221,3,2,2,1980,4500,200,58,8.81566682494622
140,3,2,0,2500,1799,375,23,8.45489216521886
650,5,4,2,5718,9000,1431,116,9.69713966113932
210,5,4,1,0,15000,1667,226,9.73453621468034
100,4,2,3,1027,2600,238,35,8.26898820950666
220,3,3,2,2500,9000,367,116,9.3910773406399
42,1,1,0,400,1150,NA,15,7.37337430991005
98,3,2,0,891,3000,185,39,8.32263709695394
150,3,1,2,3290,5200,NA,68,9.13443077787583
170,3,3,4,0,3500,NA,53,8.23642052726539
60,2,1,0,1,1610,NA,25,7.40062057737113
120,3,4,2,187,3450,149,52,8.2529671950008
142,2,3,2,1400,3550,492,45,8.61031916940572
90,2,2,1,500,2500,84,37,8.04622910107538
140,3,3,2,2400,6000,NA,77,9.10253241934188
26,1,1,0,325,1200,26,16,7.35755620091035
20,1,1,0,0,790,0,11,6.68710860786651
24,1,1,1,0,550,NA,9,6.32793678372919
140,3,2,0,350,2900,194,38,8.155649270366
134,4,2,3,650,3000,NA,40,8.29504914043511
400,5,4,2,2675,2000,832,26,8.61866616034687
18,1,1,0,628,650,49,9,7.19818357710194
62,1,1,1,1550,2800,NA,37,8.42726848388825
192,3,3,3,1790,6500,630,83,9.10542420202662
80,3,2,1,850,1790,NA,23,7.93451346388226
38,1,1,1,350,2900,42,43,8.11252776347864
112,2,3,2,442,1400,92,19,7.57763383260273
15,1,1,0,500,1100,0,15,7.38770923908104
29,1,1,0,257,1043,0,14,7.18159194461187
55,2,1,1,200,1050,0,14,7.14282740116162
88,3,1,2,1900,2500,84,32,8.4156033356546
100,4,1,0,0,1600,NA,25,7.45356187164337
92,3,2,1,268,1800,NA,24,7.71154897962915
154,4,2,2,1850,4250,NA,55,8.77477681604399
240,4,3,3,2850,12000,700,153,9.66147968357552
28,1,1,0,0,1340,4,20,7.21890970761906
50,1,1,0,0,1250,NA,19,7.1731917424866
180,3,3,2,2100,8000,NA,102,9.27058845232154
35,1,1,0,150,850,0,11,6.91968384984741
64,2,1,1,0,3500,0,46,8.17385745477362
60,2,1,1,550,1310,5,17,7.54062152865715
239,4,4,3,0,5950,500,90,8.78584533796121
130,3,2,1,1100,2300,109,30,8.17188200612782
85,2,2,0,810,918,98,12,7.51697722460432
75,2,2,1,650,2000,310,26,8.00202481821611
90,2,2,1,0,1800,0,28,7.51152464839087
100,3,1,1,300,1500,85,20,7.55276208421415
70,2,2,1,670,1450,0,19,7.6685611080159
86,3,1,0,800,1258,80,17,7.67600993202889
29,1,1,0,484,1500,26,20,7.61628356158038
82,2,2,1,450,1700,NA,25,7.71556953452021
55,2,1,1,640,1625,0,21,7.73499619402278
47,1,1,1,400,2200,0,33,7.87625888230323
33,1,1,0,550,4000,0,51,8.43424627059531
50,1,1,1,650,1800,130,23,7.86480400332846
159,4,2,0,2064,1900,634,25,8.43901541035221
62,3,2,1,230,1100,NA,15,7.25063551189868
80,2,1,2,0,1569,0,24,7.37400185935016
170,3,4,3,1500,5000,450,64,8.85580599253656
68,2,2,1,400,1800,82,27,7.74500280351584
300,4,4,3,0,5080,284,77,8.60190191934319
50,2,1,1,100,1460,0,22,7.36707705988101
80,2,2,1,824,2000,279,26,8.0487882835342
40,2,1,1,300,820,NA,12,7.0604763659998
270,3,4,2,2890,6500,100,83,9.16680636995245
75,3,1,1,360,1100,NA,17,7.32974968904151
60,1,2,2,500,2800,17,41,8.11939858961229
300,4,5,4,3600,7500,1334,96,9.43596085316529
73,2,1,2,150,1200,62,16,7.26473017792987
85,2,1,1,230,1000,NA,14,7.17472430983638
100,3,3,1,0,2400,0,37,7.79893331004122
49,1,1,0,310,680,NA,10,6.92951677076365
35,1,1,0,420,1800,0,23,7.71601526664259
240,3,4,1,1700,14850,NA,189,9.74922853350706
45,1,1,0,0,900,0,14,6.81892406527552
55,2,1,1,565,2800,0,36,8.13211877295581
305,4,3,4,3428,11000,2134,140,9.72322387685162
622,5,5,6,0,10000,924,164,9.31388924760474
55,2,1,1,250,1200,NA,16,7.3356339819272
42,1,1,0,600,2300,167,30,8.03851202097681
132,3,3,2,0,1500,NA,20,7.454719949364
53,2,1,0,626,850,NA,12,7.35564110297425
998,7,10,4,0,15000,NA,226,9.91497136047742
22,1,1,0,350,2410,NA,31,7.93451346388226
35,1,1,0,350,850,60,11,7.14834574390007
189,4,2,2,1970,8000,NA,102,9.27152954028861
375,4,5,3,0,9000,850,136,9.20903952624314
65,2,1,1,315,1400,NA,18,7.48493028328966
462,4,6,4,0,8000,1081,121,9.12728479683886
150,2,1,0,180,2285,100,29,7.86134179559999
350,2,2,2,0,4300,150,65,8.41538192526955
260,4,5,4,3471,7500,NA,96,9.31208435585947
61,1,1,0,80,1100,160,17,7.21376830811864
175,4,3,2,0,2890,0,44,7.9844627322622
70,2,1,0,270,1800,23,27,7.65964295456468
60,2,1,1,520,1500,80,20,7.65964295456468
296,6,4,8,0,5200,375,79,8.64029538855022
96,2,2,1,995,2900,109,38,8.30474226964077
150,4,2,3,3030,7377,800,94,9.33264649636015
375,4,4,3,0,6400,NA,97,8.79072562826358
70,3,1,1,600,1500,NA,20,7.66762609158499
127,4,3,2,1040,4930,NA,63,8.7804801070333
67,2,2,2,850,2800,0,38,8.21311069759668
50,1,2,1,750,3300,214,42,8.36799688505411
56,2,1,0,502,1500,0,20,7.61233683716775
55,2,1,1,608,2100,84,27,7.94449216393216
34,1,1,0,0,900,46,14,6.86797440897029
68,2,1,0,498,930,48,12,7.30586003268401
80,2,1,0,400,1777,0,23,7.69666708152646
120,3,1,1,650,1800,80,23,7.84541603659248
50,1,1,1,718,1600,13,21,7.76344638872736
78,2,2,1,432,1200,NA,16,7.48211892355212
90,2,2,1,880,3800,80,49,8.47845236309981
320,5,4,6,0,8000,584,132,9.07303042101158
560,5,6,4,2190,2633,1133,34,8.69801362208393
25,1,1,0,600,1850,25,24,7.82404601085629
37,1,1,0,270,650,23,10,6.86066367144829
95,3,1,0,1048,3600,283,47,8.51298434664218
130,3,3,2,1400,1650,414,21,8.15651022607997
270,5,4,6,0,3910,125,53,8.31605572036464
40,1,1,0,0,650,59,11,6.58063913728495
65,2,2,3,366,1450,110,20,7.5740450053722
45,1,1,0,350,1015,33,13,7.25276241805319
20,1,1,0,0,2060,0,27,7.64396194900253
720,4,5,5,6471,6500,3520,83,9.71540945862979
80,3,2,2,280,2500,126,34,7.986504938554
90,2,1,0,0,1000,NA,14,6.96034772910131
60,1,2,0,0,1062,1,16,6.98471632011827
45,1,1,1,1550,3400,198,46,8.55545190353333
100,1,2,0,4320,3100,NA,40,8.91744473247151
553,4,6,3,2800,10870,1459,145,9.63371088395318
250,4,3,2,0,3900,475,59,8.39728289474368
92,3,2,3,643,3700,NA,47,8.45318786144033
98,1,2,0,3177,15000,130,191,9.8255800636596
114,3,2,1,967,1400,176,18,7.84854348245668
27,1,1,1,650,1900,59,25,7.87663846097546
225,1,2,0,0,3500,218,63,8.2380082492184
30,1,1,0,380,1700,NA,22,7.6511201757027
135,3,3,4,200,4000,0,59,8.35702443926342
150,4,3,4,750,4000,NA,61,8.54597499284169
190,4,2,0,1000,5580,NA,75,8.86403999703599
47,1,1,1,400,2200,0,33,7.87625888230323
120,3,1,1,0,1150,67,18,7.11963563801764
90,3,2,1,900,2066,92,27,8.03463103292311
350,4,5,2,0,7500,0,113,8.93774393694244
160,3,4,2,0,4300,209,65,8.42836197770962
150,3,2,0,1800,2500,200,33,8.41935983106747
35,1,1,0,790,2000,NA,26,7.97349996402463
25,1,1,0,0,550,0,9,6.32793678372919
240,4,4,4,3250,13000,1121,165,9.77229627684378
150,4,2,2,1700,4400,37,56,8.73133636053315
20,1,1,0,0,700,0,10,6.56667242980324
85,3,2,1,690,1341,110,6,7.67229245562876
50,2,1,1,400,1900,0,15,7.74759683869288
197,3,3,2,4200,6000,NA,77,9.36314729221994
70,3,2,1,800,2800,67,36,8.21716859576607
220,3,2,2,1850,3500,265,46,8.64153246567185
270,4,3,2,1200,4800,241,64,8.74925684010501
100,3,2,2,650,2499,NA,37,8.09529377684465
195,4,6,3,1400,8000,750,102,9.2351305407834
160,3,3,2,0,4200,NA,64,8.43533216493592
470,4,6,3,0,7200,1134,109,9.04121140896821
60,3,2,1,366,1200,0,16,7.36707705988101
300,4,4,3,0,12900,NA,194,9.52376328792011
330,5,6,2,800,8950,250,114,9.2213792190914
109,1,2,2,496,4300,87,63,8.50653661122771
240,4,5,4,3700,12000,NA,153,9.73216528120054
150,3,2,5,0,2300,260,35,7.86172707782398
200,3,2,1,1750,4500,375,58,8.80747188971528
140,4,3,1,475,2300,167,31,7.9976631270201
106,2,2,2,1170,10600,NA,135,9.41254625207551
92,2,2,1,645,2100,NA,31,8.59174392268053
35,1,1,1,380,2200,100,28,7.9043348420851
70,3,2,1,1200,2900,25,37,8.33399124719497
74,2,1,2,1100,6600,424,84,9.01298639234827
69,2,2,2,853,1900,NA,25,8.00269416228394
50,1,1,0,0,830,0,13,6.73815249459596
450,5,3,6,0,4760,NA,85,8.50512061018197
68,2,1,0,593,1000,400,13,7.60439634879634
71,1,1,1,1650,3000,238,39,8.50268850521336
69,2,1,1,500,1370,56,18,7.57301725605255
32,1,1,1,197,1500,126,20,7.51969240411654
57,2,1,1,350,1800,50,23,7.70706265537047
28,1,1,0,500,2200,72,28,7.93773177526011
39,1,1,0,300,2000,0,26,7.75233516330229
140,3,3,0,750,1700,NA,25,7.86365126544865
160,3,3,2,0,4500,209,68,8.47177732788576
235,3,3,1,2585,5150,575,66,9.03324513415381
171,3,2,1,1200,2200,300,28,8.22389538017882
139,3,2,2,2047,6000,540,78,9.06716260229985
160,4,3,2,763,2300,230,31,8.10922495308995
60,2,1,1,485,800,60,11,7.21303165983487
134,3,3,3,1680,2125,NA,27,8.34474275441755
70,2,1,1,897,1300,NA,18,7.75833346749091
57,2,1,0,100,1530,0,20,7.40913644392013
240,3,3,4,2600,5500,1834,70,9.21044036697652
50,1,1,0,0,800,34,13,6.7428806357919
120,3,2,1,1470,3550,190,46,8.56731580081945
200,3,3,4,2900,1200,260,18,8.3845756668014
572,6,6,4,0,7800,2359,118,9.23805281054272
145,2,2,1,1463,4000,0,51,8.6152269316876
70,2,1,2,80,1200,NA,16,7.23993259132047
85,2,2,1,3700,8000,659,104,9.43035904594287
140,3,2,0,0,3000,NA,40,8.08425410630732
260,4,5,5,3000,12500,NA,159,9.76025208444938
211,4,4,4,1800,3390,775,43,8.70101362433393
58,2,1,1,280,650,NA,9,6.84587987526405
110,1,1,2,1936,4500,NA,58,8.82995804423548
72,2,2,0,820,1500,70,20,7.78779687818117
700,4,7,8,0,45000,8750,677,10.9046891234807
68,1,2,1,1040,6000,229,77,8.90204734562028
100,3,3,2,1167,2700,95,35,8.29354951506035
240,3,2,0,1717,6500,444,83,9.0762373874527
104,3,1,0,784,3500,195,46,8.41759382619348
70,1,1,1,290,1600,NA,21,7.59186171488993
67,1,1,1,920,2600,NA,33,8.1958853913148
160,4,2,5,0,3780,NA,62,8.29654652030061
64,3,1,0,215,1400,27,19,7.41577697541539
140,3,3,5,2000,8000,NA,102,9.28831941329277
38,1,1,0,376,750,15,10,7.04925484125584
34,1,1,0,372,2700,57,35,8.05990833457828
54,2,1,0,535,2001,0,26,7.84893372636407
54,1,1,1,1050,7200,NA,92,9.05870319731322
200,3,2,4,0,3500,500,53,8.30745932701195
107,3,2,2,1122,2600,NA,33,8.32020459757888
70,2,2,0,879,1550,77,20,7.83478810738819
20,1,1,0,602,1800,130,23,7.84619881549743
86,2,1,1,1002,2340,0,8,8.11701408773731
30,1,1,1,0,1480,NA,20,7.3304052118444
108,3,2,1,826,2000,NA,30,7.98820359702258
250,4,3,4,0,2700,154,41,7.97108575350561
80,2,1,0,740,2200,92,28,8.02649693894541
73,2,1,1,1022,1100,0,15,7.66762609158499
45,1,1,1,250,1205,NA,18,7.34342622914737
45,2,2,0,0,1650,84,25,7.4730690880322
255,4,4,0,4000,2500,NA,32,8.98931956604295
217,4,3,4,2644,6000,1177,80,9.20049203592137
70,1,1,0,472,1870,NA,24,7.76937860951398
25,1,1,0,0,885,0,12,6.8001700683022
110,3,3,0,400,3250,NA,48,8.2358907259285
80,2,2,1,1200,10000,109,127,9.34495867370094
260,3,5,0,0,9000,634,136,9.18717409394434
50,2,2,1,624,2700,82,35,8.14380797677148
60,2,1,1,430,815,20,6,7.14834574390007
400,3,6,6,0,6500,375,98,8.8499442272356
113,2,1,1,1000,3000,50,39,8.31630024903685
400,4,4,6,3900,8000,NA,102,9.52886682772294
64,2,2,2,450,2250,NA,33,7.93164402145431
82,2,1,2,2020,3100,333,40,8.61141186665522
65,2,1,3,800,2000,217,26,8.02092771898158
128,4,3,2,1160,4900,NA,88,8.78844095740459
38,1,1,0,60,950,0,13,6.93147180559945
175,3,2,0,0,2000,0,31,7.61677580869837
107,3,3,2,1600,4500,417,58,8.79118193673602
257,4,3,2,3250,3800,709,49,8.96303219366268
35,1,1,1,550,3250,30,42,8.26178467951475
463,4,7,6,0,12000,1264,181,9.50680873170858
40,2,1,0,335,920,55,12,7.18765716411496
297,4,2,3,2000,1870,209,15,8.31752199628717
137,3,3,1,1247,5500,303,70,8.87080344398212
35,1,1,0,498,1200,80,16,7.49276030092238
128,3,3,1,950,3500,242,46,8.46358142196759
59,2,1,1,190,1250,NA,17,7.33171496972647
400,4,4,2,634,11480,1357,175,9.52083524249312
100,3,2,1,980,4500,125,58,8.64188563537355
50,1,1,0,680,2200,85,29,8.00469951054955
80,2,2,1,740,1900,120,28,7.93343838762749
68,2,2,2,230,1650,154,22,7.62900388965296
32,1,1,1,2000,2000,416,26,8.39908510293591
161,3,3,3,1300,4500,NA,58,8.77940359789435
85,2,2,0,0,1700,0,26,7.45414107814668
100,2,2,0,0,2500,274,38,7.94200680848986
136,3,4,3,1400,5000,117,64,8.79209392950328
362,4,5,2,0,7000,834,106,8.97979449089521
276,3,3,4,3600,6500,NA,83,9.37847848425366
22,1,1,0,50,1322,59,16,7.27793857294566
60,2,1,0,114,980,NA,15,7.04925484125584
500,4,7,8,0,9250,1167,140,9.26492324974647
65,1,1,1,426,980,38,15,7.28619171470238
56,2,1,1,350,2600,0,33,8.00101996132365
35,1,1,1,300,2840,10,36,8.06683531441734
98,3,2,2,700,2550,100,38,8.12829017160705
45,1,1,0,0,950,30,15,6.9037472575846
48,2,1,1,300,800,35,12,7.04577657687951
48,1,1,1,490,1500,42,20,7.62705741701893
114,2,3,1,902,7010,NA,89,9.00810178134187
197,4,2,3,850,4250,400,57,8.62299361030245
200,4,1,2,345,2500,NA,34,8.03560269291858
110,3,2,0,0,2500,0,41,7.8407064517494
300,2,4,2,0,6000,NA,91,8.78124833323686
120,3,1,1,1140,1900,NA,26,8.07309119969315
40,1,1,0,370,1084,NA,16,7.32448997934853
92,2,1,1,690,3950,0,51,8.45361420977337
140,3,2,2,1640,5500,583,70,8.96110948589866
244,4,3,4,3460,7000,1000,89,9.35452729228868
59,2,1,0,326,1000,42,15,7.23273313617761
35,1,1,0,0,791,NA,11,6.72503364216684
120,3,2,3,1400,2000,292,26,8.22121009392507
248,4,5,4,2500,9100,250,116,9.39024233725137
63,2,2,1,783,1690,27,22,7.83320394864106
45,1,1,1,694,1800,172,23,7.89729647259588
129,2,3,2,1100,2376,334,38,8.25556865328375
300,3,3,8,0,4675,NA,71,8.54616929965275
29,1,1,1,650,2200,118,28,8.00536706731666
100,3,2,1,745,1300,119,18,7.68845535654994
153,4,3,3,2500,5500,700,70,9.07920610395138
87,2,1,1,780,1200,NA,16,7.6251071482389
75,1,1,2,976,7000,323,89,9.0346766028463
300,4,4,2,4100,12750,NA,165,9.81743934791068
48,1,1,0,340,700,NA,11,7.20934025660291
56,2,2,1,500,2000,0,26,7.83478810738819
71,2,1,1,670,977,114,13,7.48155570190952
84,4,1,3,1914,6000,804,77,9.08205235167465
208,3,4,3,0,3490,NA,53,8.29903718161307
100,1,2,1,1520,6000,NA,77,8.98042393637454
84,3,2,2,540,2200,71,28,7.95155933115525
145,4,3,2,1644,4800,500,61,8.85452220375743
300,4,3,2,0,15000,NA,226,9.69713966113932
65,2,2,1,980,6000,250,77,8.8967249174979
27,1,1,0,0,836,0,13,6.74523634948436
102,3,2,1,1900,1350,140,18,8.1341742721379
60,2,1,1,385,2848,64,37,8.11222795834972
60,1,1,0,230,1286,NA,19,7.38150189450671
50,1,1,0,520,1620,0,21,7.67878899819915
97,3,1,1,762,2300,NA,30,8.04494704961772
52,1,2,1,1100,5000,210,64,8.76013937002663
373,4,4,3,4500,12750,NA,162,9.84325972698564
157,4,3,2,0,6608,492,100,8.88197518424887
68,3,1,1,555,1100,50,14,7.4500795698075
172,4,4,3,1650,8800,890,112,9.34583234141334
64,2,2,2,865,3500,NA,45,8.39185670010494
41,1,1,0,800,1700,NA,22,7.86633892304654
106,2,2,1,900,2850,296,37,8.31483217928456
150,4,2,3,900,3300,NA,44,8.43054538469057
135,4,2,2,450,3500,117,47,8.32239411311117
350,4,6,6,0,9600,1367,145,9.31569088758401
360,3,1,3,0,1500,142,25,7.41938058291869
700,4,7,8,0,15000,NA,226,9.76886985581118
100,2,2,1,2400,8900,380,115,9.37593955262575
50,1,1,2,300,1200,NA,16,7.32448997934853
55,3,1,1,458,1300,0,17,7.48211892355212
215,4,4,2,1950,6000,834,77,9.08952775175944
287,3,2,5,0,15000,NA,226,9.6310881036155
58,2,1,1,383,1500,43,20,7.5740450053722
90,3,2,2,850,1600,300,21,7.92732436030979
200,3,3,3,0,3315,241,50,8.19063168090354
65,3,2,1,650,2200,NA,28,7.96693349840484
820,4,6,6,2500,10000,NA,151,9.62582181535984
102,2,1,0,538,2000,109,26,7.89133075766189
108,3,2,2,2000,4500,442,58,8.8538082749772
86,3,2,2,800,3100,203,40,8.32941678393932
210,6,3,0,0,4200,NA,64,8.35819745992578
140,4,2,2,995,4200,NA,56,8.65067458279072
220,4,4,3,2500,4500,NA,58,8.99974278983049
66,2,1,1,265,1100,34,14,7.25417784645652
389,4,5,6,4000,8500,1834,108,9.57782666212656
80,3,3,1,934,1700,NA,22,7.89431806384162
78,2,2,1,792,2200,148,28,8.06117135969092
178,4,2,5,0,6000,NA,91,8.78737298873188
47,2,1,1,565,1140,NA,15,7.48717369421374
160,4,1,1,0,2150,NA,36,7.69028602067677
25,1,1,0,50,700,0,10,6.63463335786169
80,2,2,2,50,1700,177,26,7.57763383260273
144,3,3,2,0,5000,109,76,8.55371796609861
400,5,7,4,3200,7900,888,101,9.40021665317425
100,3,2,1,0,14500,423,238,9.62648162008158
48,2,1,0,90,1150,90,15,7.20489251020467
64,3,2,2,500,1530,34,20,7.6425241342329
